Itemized Comparison,,,,,,
Project: Global 1,,,,,,
Generated: 11/22/2025,,,,,,
,,,,,,
Item Description,Qty,Unit,Global Fire,,Optimal Fire,
,,,Unit Rate,Total,Unit Rate,Total
Up to 100mm x 600mm Insulation,1,ea.,$153.03,$153.03,N/A,N/A
Up to 100mm x 800mm Insulation,1,ea.,$182.35,$182.35,N/A,N/A
Up to 100mm x 1000mm Insulation,1,ea.,$205.29,$205.29,N/A,N/A
Up to 40mm (OD) Insulation,1,ea.,$73.78,$73.78,N/A,N/A
Up to 110mm (OD) Insulation,1,ea.,$99.71,$99.71,N/A,N/A
Up to 160mm (OD) Insulation,1,ea.,$119.02,$119.02,N/A,N/A
50mm Service Transits,1,ea.,$64.03,$64.03,N/A,N/A
65mm Service Transits,1,ea.,$68.02,$68.02,N/A,N/A
80mm Service Transits,1,ea.,$80.24,$80.24,N/A,N/A
110mm Service Transits,1,ea.,$98.89,$98.89,N/A,N/A
200mm Service Transits,1,ea.,$184.77,$184.77,N/A,N/A
150mm Fire Boxes,1,ea.,$331.07,$331.07,N/A,N/A
300mm Fire Boxes,1,ea.,$337.15,$337.15,N/A,N/A
350mm Fire Boxes,1,ea.,$341.72,$341.72,N/A,N/A
650mm XL Trafalgar Fire Boxes,1,ea.,$447.77,$447.77,N/A,N/A
750mm XL Trafalgar Fire Boxes,1,ea.,$458.35,$458.35,N/A,N/A
1100mm XL Trafalgar Fire Boxes,1,ea.,$598.50,$598.50,N/A,N/A
Steel Pipe 50mm 2x 13mm GIB Wall,148,EA,$118.80,"$17,580.92",N/A,N/A
Steel Pipe 25mm 13mm GIB Wall,20,EA,$114.04,"$2,280.80",N/A,N/A
Steel Pipe 25mm Korok Panel 51mm,26,EA,$114.04,"$2,965.04",N/A,N/A
Steel Pipe 25mm Concrete Wall,24,EA,$79.32,"$1,903.68",N/A,N/A
Steel Pipe 65mm Korok Panel 51mm,26,EA,$153.51,"$3,991.26",N/A,N/A
Tenmat FF102/50,5.2,M,$93.23,"$81,417.76",N/A,N/A
Ryanfire Ryanspan,5.2,M,$62.69,"$56,740.72",N/A,N/A
Single Fire Door,5,EA,$12.89,"$15,468.00",N/A,N/A
Lift Door,5,EA,$12.89,"$3,712.32",N/A,N/A
Cable Bundle Up to 40mm Korok Panel 51mm,126,Nr,$39.15,"$4,932.90",N/A,N/A
